City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,271.85,80,100,5.57,IS,1702951168
1,fale old settlement,-9.3852,-171.2468,302.19,74,100,1.27,TK,1702951168
2,albany,42.6001,-73.9662,279.59,83,77,3.7,US,1702950925
3,georgetown,5.4112,100.3354,301.11,82,20,2.06,MY,1702951077
4,tumayr,25.7039,45.868,286.07,74,80,3.09,SA,1702951169
5,namibe,-15.1961,12.1522,295.91,81,94,2.21,AO,1702951169
6,horta,38.5333,-28.6333,286.49,90,100,12.07,PT,1702951169
7,cabo san lucas,22.8909,-109.9124,298.57,67,88,3.28,MX,1702950959
8,port-aux-francais,-49.35,70.2167,280.76,89,95,15.36,TF,1702951169
9,burang,30.25,81.1667,260.14,71,0,2.69,CN,1702951058
10,punta arenas,-53.15,-70.9167,285.21,66,0,7.72,CL,1702951048
11,happy valley-goose bay,53.3168,-60.3315,281.32,76,100,8.75,CA,1702951170
12,waitangi,-43.9535,-176.5597,289.72,73,43,1.34,NZ,1702951170
13,west island,-12.1568,96.8225,302.14,65,20,3.6,CC,1702951170
14,northam,51.0333,-4.2167,286.14,98,100,8.69,GB,1702951171
15,iqaluit,63.7506,-68.5145,243.37,86,7,2.61,CA,1702951171
16,grand-bassam,5.2118,-3.7388,301.13,85,79,1.0,CI,1702951171
17,edinburgh of the seven seas,-37.0676,-12.3116,288.04,79,71,9.0,SH,1702951047
18,grytviken,-54.2811,-36.5092,274.71,83,24,1.4,GS,1702951044
19,ilulissat,69.2167,-51.1,259.13,72,100,5.92,GL,1702951171
20,hermanus,-34.4187,19.2345,288.1,78,0,4.38,ZA,1702951172
21,lebu,-37.6167,-73.65,285.02,82,9,7.73,CL,1702951047
22,lazaro cardenas,17.9583,-102.2,298.78,81,5,2.04,MX,1702951172
23,enewetak,11.3474,162.3373,300.46,77,37,8.65,MH,1702951172
24,talnakh,69.4865,88.3972,260.49,74,100,9.56,RU,1702951172
25,gewane,10.1664,40.6453,293.84,58,94,3.12,ET,1702951173
26,puerto cabello,10.4731,-68.0125,299.9,81,78,1.77,VE,1702951173
27,qaqortoq,60.7167,-46.0333,268.07,86,100,4.35,GL,1702951173
28,port elizabeth,-33.918,25.5701,289.87,92,0,1.54,ZA,1702951052
29,fortuna,40.5982,-124.1573,290.34,94,100,10.8,US,1702951079
30,beloyarskiy,63.7119,66.6722,259.84,92,100,4.04,RU,1702951174
31,capayan,-28.761,-66.0502,294.71,70,97,1.1,AR,1702951174
32,fairfield,41.2668,-73.3162,281.4,66,0,5.66,US,1702950978
33,bethel,41.3712,-73.414,281.08,77,0,2.57,US,1702951047
34,plettenberg bay,-34.0527,23.3716,289.49,84,41,0.71,ZA,1702951174
35,howard springs,-12.497,131.047,306.47,80,84,4.14,AU,1702951174
36,hamilton,39.1834,-84.5333,272.47,71,75,7.72,US,1702950889
37,norilsk,69.3535,88.2027,260.61,73,100,8.68,RU,1702951175
38,chhabra,24.6667,76.8333,286.11,46,99,1.91,IN,1702951175
39,bredasdorp,-34.5322,20.0403,287.38,74,0,1.62,ZA,1702951175
40,revda,56.801,59.9303,262.71,95,55,2.71,RU,1702951176
41,sittwe,20.15,92.9,293.77,65,0,1.95,MM,1702951176
42,adamstown,-25.066,-130.1015,295.97,79,100,7.03,PN,1702951176
43,izazi,-7.2,35.7333,296.08,78,51,0.63,TZ,1702951176
44,touros,-5.1989,-35.4608,299.66,79,100,4.2,BR,1702951176
45,kolodeznyy,51.3333,39.1833,275.51,100,100,3.89,RU,1702951177
46,pokhara,28.2333,83.9833,285.02,22,22,1.92,NP,1702951177
47,tirano,46.2154,10.1679,285.67,32,0,2.97,IT,1702951177
48,selfoss,63.9331,-20.9971,273.73,83,100,2.9,IS,1702951177
49,i-n-salah,27.1935,2.4607,281.11,51,0,3.76,DZ,1702951178
50,ballina,-28.8667,153.5667,301.21,62,44,7.64,AU,1702950974
51,uturoa,-16.7333,-151.4333,300.06,77,100,3.83,PF,1702951179
52,whitehorse,60.7161,-135.0538,261.38,82,20,1.54,CA,1702951179
53,kuala terengganu,5.3302,103.1408,298.12,100,20,1.03,MY,1702951179
54,angaur state,6.906,134.13,301.63,74,80,6.48,PW,1702951179
55,afaahiti,-17.75,-149.2833,301.08,84,100,4.54,PF,1702951179
56,kavaratti,10.5669,72.642,298.15,91,100,4.31,IN,1702951180
57,aasiaat,68.7098,-52.8699,260.78,84,100,11.97,GL,1702951180
58,beira,-19.8436,34.8389,300.2,78,0,1.03,MZ,1702951180
59,kokpekty,48.75,82.4,249.87,85,98,1.33,KZ,1702951180
60,kodiak,57.79,-152.4072,269.88,80,100,2.06,US,1702951111
61,safotu,-13.4513,-172.4018,301.67,79,79,5.1,WS,1702951180
62,iguatu,-6.3594,-39.2986,300.67,65,100,2.96,BR,1702951181
63,puerto natales,-51.7236,-72.4875,281.6,82,95,2.19,CL,1702951042
64,santyoku,37.4406,129.1708,275.04,29,43,1.24,KR,1702951181
65,blackmans bay,-43.0167,147.3167,289.22,76,91,4.52,AU,1702951181
66,howrah,22.5892,88.3103,287.15,77,10,2.57,IN,1702951181
67,kyren,51.6828,102.1408,247.01,91,77,0.36,RU,1702951181
68,bilibino,68.0546,166.4372,240.82,98,100,0.64,RU,1702951181
69,carmo,-21.9336,-42.6086,292.67,96,1,0.88,BR,1702951182
70,collie,-33.3667,116.15,297.29,29,3,5.39,AU,1702951182
71,fort mcmurray,56.7268,-111.381,271.88,54,0,4.12,CA,1702951182
72,iskateley,67.6803,53.1512,261.49,93,98,6.71,RU,1702951182
73,pueblo nuevo,23.3833,-105.3833,284.62,62,14,2.43,MX,1702951182
74,la'ie,21.6477,-157.9253,294.82,77,100,9.38,US,1702951182
75,basco,20.4487,121.9702,298.79,83,85,10.19,PH,1702951182
